,treatment
813,0
814,1
815,1
816,1
817,0
818,0
819,0
820,1
821,1
822,1
823,1
824,1
825,0
826,0
827,1
828,0
829,1
830,1
831,0
832,1
833,1
834,1
835,0
836,1
837,1
838,1
839,1
840,1
841,0
842,0
843,1
844,1
845,1
846,1
847,0
848,0
849,1
850,0
851,0
852,1
853,1
854,1
855,0
856,0
857,1
858,1
859,1
860,1
861,0
862,0
863,1
864,0
865,0
866,1
867,1
868,1
869,0
870,1
871,1
872,1
873,0
874,1
875,1
876,1
877,1
878,0
879,1
880,1
881,1
882,1
883,1
884,1
885,1
886,1
887,1
888,1
889,1
890,1
891,0
892,1
893,1
894,1
895,1
896,1
897,0
898,0
899,0
900,1
901,1
902,0
903,0
904,1
905,1
906,0
907,0
908,0
909,0
910,0
911,0
912,1
913,1
914,0
915,0
916,1
917,1
918,0
919,1
920,1
921,1
922,0
923,0
924,0
925,1
926,1
927,0
928,1
929,1
930,1
931,1
932,1
933,1
934,1
935,0
936,0
937,1
938,1
939,1
940,1
941,0
942,0
943,1
944,0
945,1
946,0
947,1
948,0
949,0
950,1
951,1
952,1
953,0
954,0
955,1
956,0
957,1
958,0
959,1
960,0
961,1
962,0
963,1
964,1
965,1
966,1
967,1
968,1
969,1
970,0
971,1
972,0
973,1
974,1
975,1
976,1
977,1
978,0
979,0
980,1
981,0
982,1
983,0
984,1
985,0
986,1
987,0
988,1
989,1
990,1
991,1
992,1
993,1
994,0
995,1
996,1
997,1
998,1
999,0
1000,0
1001,1
1002,0
1003,0
1004,0
1005,0
1006,1
1007,1
1008,1
1009,1
1010,1
1011,0
1012,1
1013,1
1014,1
1015,1
1016,1
1017,0
1018,1
1019,1
1020,0
1021,0
1022,1
1023,1
1024,1
1025,0
1026,1
1027,1
1028,1
1029,1
1030,1
1031,1
1032,0
1033,1
1034,0
1035,0
1036,1
1037,1
1038,0
1039,1
1040,1
1041,1
1042,0
1043,1
1044,1
1045,0
1046,1
1047,0
1048,1
1049,1
1050,0
1051,1
1052,1
1053,1
1054,0
1055,0
1056,1
1057,1
1058,0
1059,1
1060,1
1061,1
1062,1
1063,0
1064,1
1065,1
1066,1
1067,1
1068,1
1069,0
1070,1
1071,1
1072,1
1073,1
1074,1
1075,0
1076,0
1077,0
1078,0
1079,0
1080,1
1081,0
1082,0
1083,1
1084,0
1085,0
1086,1
1087,1
1088,1
1089,0
1090,0
1091,0
1092,1
1093,0
1094,0
1095,0
1096,1
1097,1
1098,1
1099,1
1100,1
1101,1
1102,1
1103,1
1104,1
1105,1
1106,1
1107,0
1108,1
1109,1
1110,0
1111,0
1112,1
1113,1
1114,0
1115,1
1116,1
1117,1
1118,1
1119,1
1120,0
1121,1
1122,0
1123,1
1124,1
1125,1
1126,1
1127,0
1128,1
1129,1
1130,0
1131,0
1132,0
1133,1
1134,1
1135,1
1136,0
1137,1
1138,1
1139,1
1140,1
1141,1
1142,1
1143,1
1144,1
1145,0
1146,1
1147,1
1148,0
1149,1
1150,1
1151,1
1152,1
1153,1
1154,1
1155,1
1156,1
1157,0
1158,1
1159,1
1160,1
1161,1
1162,1
1163,0
1164,1
1165,0
1166,1
1167,1
1168,0
1169,0
1170,1
1171,0
1172,1
1173,0
1174,1
1175,1
1176,1
1177,1
1178,0
1179,0
1180,0
1181,0
1182,1
1183,0
1184,0
1185,0
1186,0
1187,1
1188,1
1189,1
1190,1
1191,1
1192,0
1193,1
1194,1
1195,1
1196,0
1197,1
1198,0
1199,0
1200,1
1201,1
1202,1
1203,0
1204,1
1205,1
1206,1
1207,0
1208,1
1209,1
1210,0
1211,1
1212,0
1213,1
1214,1
1215,1
1216,0
1217,0
1218,1
1219,0
1220,1
1221,0
1222,1
1223,1
1224,1
1225,1
1226,1
1227,0
1228,0
1229,0
1230,1
1231,1
1232,1
1233,0
1234,1
1235,1
1236,0
1237,1
1238,1
1239,1
1240,0
1241,1
1242,1
1243,1
1244,1
1245,1
1246,0
1247,1
1248,1
1249,0
1250,1
1251,1
1252,1
1253,1
1254,0
1255,1
1256,0
1257,0
1258,0
1259,0
1260,0
1261,1
1262,0
1263,0
1264,1
1265,1
1266,1
1267,1
1268,1
1269,1
1270,0
1271,1
1272,1
1273,0
1274,1
1275,1
1276,1
1277,1
1278,1
1279,1
1280,1
1281,1
1282,0
1283,1
1284,0
1285,1
1286,1
1287,0
1288,1
1289,1
1290,1
1291,0
1292,1
1293,1
1294,0
1295,1
1296,1
1297,0
1298,0
1299,1
1300,1
1301,1
1302,0
1303,0
1304,1
1305,1
1306,1
1307,1
1308,1
1309,0
1310,1
1311,0
1312,1
1313,1
1314,1
1315,0
1316,1
1317,1
1318,0
1319,1
1320,0
1321,1
1322,1
1323,1
1324,1
1325,1
1326,1
1327,0
1328,1
1329,1
1330,1
1331,0
1332,0
1333,0
1334,0
1335,1
1336,1
1337,0
1338,1
1339,0
1340,0
1341,0
1342,0
1343,1
1344,1
1345,1
1346,1
1347,1
1348,0
1349,1
1350,0
1351,0
1352,1
1353,0
1354,1
1355,0
1356,1
1357,1
1358,1
1359,0
1360,1
1361,1
1362,1
1363,1
1364,1
1365,1
1366,1
1367,1
1368,0
1369,1
1370,1
1371,1
1372,0
1373,1
1374,0
1375,0
1376,1
1377,1
1378,1
1379,1
1380,0
1381,1
1382,0
1383,1
1384,1
1385,0
1386,1
1387,0
1388,0
1389,1
1390,0
1391,0
1392,1
1393,1
1394,1
1395,1
1396,1
1397,0
1398,1
1399,0
1400,0
1401,0
1402,1
1403,1
1404,1
1405,1
1406,1
1407,1
1408,1
1409,0
1410,1
1411,1
1412,1
1413,1
1414,1
1415,1
1416,1
1417,1
1418,0
1419,0
1420,1
1421,1
1422,0
1423,1
1424,1
1425,1
1426,1
1427,1
1428,0
1429,1
1430,1
1431,0
1432,1
1433,1
1434,0
1435,0
1436,0
1437,1
1438,1
1439,0
1440,0
1441,1
1442,1
1443,1
1444,1
1445,1
1446,0
1447,1
1448,1
1449,1
1450,1
1451,1
1452,1
1453,0
1454,1
1455,1
1456,1
1457,0
1458,0
1459,0
1460,1
1461,0
1462,1
1463,1
1464,0
1465,1
1466,0
1467,0
1468,1
1469,1
1470,1
1471,1
1472,1
1473,1
1474,0
1475,1
1476,1
1477,1
1478,1
1479,1
1480,1
1481,1
1482,1
1483,1
1484,1
1485,1
1486,1
1487,1
1488,1
1489,1
1490,1
1491,1
1492,0
1493,1
1494,1
1495,0
1496,1
1497,1
1498,0
1499,1
1500,1
1501,1
1502,0
1503,1
1504,0
1505,1
1506,1
1507,1
1508,0
1509,1
1510,0
1511,1
1512,0
1513,0
1514,0
1515,0
1516,0
1517,1
1518,1
1519,0
1520,1
1521,1
1522,1
1523,1
1524,0
1525,1
1526,0
1527,1
1528,1
1529,1
1530,0
1531,1
1532,0
1533,1
1534,1
1535,1
1536,1
1537,1
1538,1
1539,1
1540,0
1541,1
1542,0
1543,0
1544,1
1545,0
1546,1
1547,1
1548,1
1549,1
1550,1
1551,0
1552,1
1553,1
1554,1
1555,1
1556,1
1557,1
1558,1
1559,1
1560,1
1561,1
1562,1
1563,1
1564,1
1565,0
1566,0
1567,1
1568,1
1569,0
1570,0
1571,0
1572,1
1573,1
1574,1
1575,0
1576,1
1577,1
1578,1
1579,1
1580,1
1581,1
1582,1
1583,1
1584,0
1585,0
1586,1
1587,0
1588,1
1589,0
1590,1
1591,0
1592,1
1593,1
1594,0
1595,1
1596,1
1597,1
1598,1
1599,1
1600,1
1601,1
1602,0
1603,1
1604,1
1605,1
1606,1
1607,1
1608,0
1609,1
1610,0
1611,1
1612,0
1613,0
1614,1
1615,1
1616,1
1617,1
1618,1
1619,1
1620,1
1621,1
1622,0
1623,1
1624,1
1625,1
1626,0
1627,0
1628,1
1629,1
1630,1
1631,1
1632,1
1633,1
1634,1
1635,1
1636,0
1637,0
1638,1
1639,1
1640,0
1641,0
1642,1
1643,1
1644,1
1645,1
1646,1
1647,1
1648,1
1649,0
1650,0
1651,0
1652,0
1653,1
1654,1
1655,1
1656,0
1657,1
1658,1
1659,0
1660,1
1661,0
1662,0
1663,0
1664,1
1665,1
1666,1
1667,0
1668,0
1669,1
1670,1
1671,0
1672,0
1673,0
1674,0
1675,1
1676,1
1677,0
1678,1
1679,1
1680,1
1681,1
1682,1
1683,1
1684,0
1685,0
1686,0
1687,1
1688,0
1689,1
1690,1
1691,1
1692,1
1693,0
1694,0
1695,0
1696,1
1697,1
1698,1
1699,0
1700,0
1701,1
1702,1
1703,1
1704,0
1705,1
1706,0
1707,0
1708,1
1709,1
1710,0
1711,0
1712,0
1713,1
1714,1
1715,1
1716,1
1717,0
1718,1
1719,1
1720,1
1721,0
1722,0
1723,1
1724,1
1725,1
1726,1
1727,1
1728,1
1729,1
1730,1
1731,1
1732,1
1733,0
1734,1
1735,1
1736,1
1737,1
1738,0
1739,0
1740,1
1741,1
1742,1
1743,1
1744,1
1745,0
1746,1
1747,1
1748,1
1749,0
1750,0
1751,1
1752,1
1753,0
1754,1
1755,1
1756,1
1757,1
1758,0
1759,1
1760,1
1761,0
1762,1
1763,1
1764,1
1765,1
1766,1
1767,1
1768,1
1769,0
1770,1
1771,1
1772,1
1773,0
1774,1
1775,0
1776,1
1777,0
1778,1
1779,0
1780,1
1781,0
1782,1
1783,1
1784,1
1785,1
1786,1
1787,1
1788,1
1789,1
1790,0
1791,1
1792,0
1793,1
1794,1
1795,1
1796,0
1797,1
1798,1
1799,1
1800,1
1801,1
1802,0
1803,0
1804,1
1805,1
1806,1
1807,0
1808,1
1809,1
1810,1
1811,0
1812,0
1813,0
1814,0
1815,1
1816,1
1817,0
1818,0
1819,0
1820,1
1821,1
1822,0
1823,1
1824,1
1825,0
1826,1
1827,1
1828,1
1829,0
1830,1
1831,1
1832,1
1833,1
1834,1
1835,1
1836,1
1837,1
1838,0
1839,1
1840,1
1841,0
1842,0
1843,1
1844,0
1845,1
1846,1
1847,1
1848,0
1849,0
1850,1
1851,1
1852,1
1853,0
1854,1
1855,1
1856,1
1857,1
1858,0
1859,0
1860,1
1861,1
1862,0
1863,0
1864,0
1865,1
1866,0
1867,1
1868,1
1869,1
1870,1
1871,1
1872,1
1873,1
1874,1
1875,1
1876,1
1877,1
1878,1
1879,1
1880,1
1881,1
1882,1
1883,1
1884,0
1885,1
1886,0
1887,1
1888,0
1889,0
1890,1
1891,0
1892,0
1893,1
1894,1
1895,0
1896,0
1897,0
1898,0
1899,1
1900,1
1901,1
1902,0
1903,1
1904,0
1905,1
1906,0
1907,0
1908,1
1909,1
1910,0
1911,1
1912,0
1913,1
1914,1
1915,1
1916,0
1917,0
1918,1
1919,1
1920,1
1921,1
1922,0
1923,1
1924,1
1925,1
1926,1
1927,1
1928,1
1929,0
1930,0
1931,0
1932,1
1933,1
1934,1
1935,0
1936,1
1937,1
1938,1
1939,1
1940,1
1941,0
1942,1
1943,1
1944,1
1945,1
1946,1
1947,0
1948,1
1949,1
1950,1
1951,1
1952,0
1953,1
1954,1
1955,1
1956,0
1957,0
1958,0
1959,1
1960,1
1961,1
1962,0
1963,1
1964,0
1965,1
1966,0
1967,0
1968,1
1969,1
1970,1
1971,1
1972,1
1973,1
1974,1
1975,1
1976,0
1977,1
1978,1
1979,1
1980,0
1981,0
1982,0
1983,1
1984,1
1985,1
1986,1
1987,0
1988,1
1989,1
1990,1
1991,1
1992,0
1993,0
1994,0
1995,1
1996,1
1997,1
1998,1
1999,0
2000,1
2001,1
2002,0
2003,1
2004,0
2005,1
2006,1
2007,1
2008,1
2009,1
2010,1
2011,0
2012,1
2013,1
2014,1
2015,0
2016,1
2017,1
2018,1
2019,1
2020,1
2021,0
2022,0
2023,0
2024,0
2025,1
2026,1
2027,0
2028,0
2029,0
2030,1
2031,1
2032,1
2033,0
2034,1
2035,1
2036,1
2037,1
2038,1
2039,1
2040,1
2041,1
2042,1
2043,0
2044,1
2045,0
2046,0
2047,0
2048,1
2049,1
2050,1
2051,1
2052,1
2053,1
2054,1
2055,1
2056,0
2057,1
2058,0
2059,1
2060,1
2061,1
2062,1
2063,1
2064,1
2065,1
2066,1
2067,1
2068,1
2069,1
2070,0
2071,1
2072,1
2073,1
2074,1
2075,1
2076,0
2077,0
2078,0
2079,1
2080,1
2081,1
2082,0
2083,0
2084,0
2085,1
2086,1
2087,1
2088,0
2089,1
2090,0
2091,1
2092,0
2093,0
2094,1
2095,0
2096,0
2097,1
2098,0
2099,0
2100,0
2101,1
2102,1
2103,1
2104,1
2105,0
2106,0
2107,1
2108,1
2109,0
2110,1
2111,0
2112,1
2113,1
2114,1
2115,0
2116,0
2117,1
2118,0
2119,0
2120,0
2121,1
2122,1
2123,1
2124,1
2125,0
2126,0
2127,1
2128,0
2129,0
2130,0
2131,1
2132,0
2133,1
2134,1
2135,1
2136,1
2137,1
2138,1
2139,1
2140,1
2141,1
2142,0
2143,1
2144,1
2145,1
2146,0
2147,1
2148,0
2149,1
2150,0
2151,1
2152,1
2153,1
2154,1
2155,1
2156,0
2157,1
2158,1
2159,1
2160,1
2161,0
2162,0
2163,1
2164,1
2165,1
2166,0
2167,1
2168,1
2169,0
2170,1
2171,1
2172,0
2173,1
2174,0
2175,0
2176,1
2177,1
2178,1
2179,1
2180,1
2181,0
2182,1
2183,0
2184,0
2185,1
2186,0
2187,0
2188,1
2189,1
2190,1
2191,1
2192,0
2193,0
2194,1
2195,1
2196,1
2197,0
2198,1
2199,1
2200,0
2201,1
2202,1
2203,0
2204,1
2205,1
2206,1
2207,0
2208,1
2209,0
2210,1
2211,1
2212,1
2213,1
2214,0
2215,1
2216,1
2217,1
2218,0
2219,1
2220,1
2221,1
2222,1
2223,0
2224,0
2225,1
2226,0
2227,1
2228,1
2229,1
2230,1
2231,0
2232,0
2233,0
2234,1
2235,0
2236,1
2237,1
2238,0
2239,0
2240,0
2241,1
2242,0
2243,1
2244,0
2245,1
2246,0
2247,1
2248,1
2249,1
2250,1
2251,1
2252,0
2253,1
2254,0
2255,1
2256,1
2257,0
2258,1
2259,1
2260,1
2261,1
2262,1
2263,1
2264,0
2265,0
2266,0
2267,1
2268,1
2269,1
2270,1
2271,1
2272,1
2273,1
2274,1
2275,1
2276,1
2277,0
2278,0
2279,0
2280,1
2281,1
2282,1
2283,1
2284,1
2285,0
2286,0
2287,1
2288,1
2289,0
2290,0
2291,1
2292,1
2293,1
2294,1
2295,1
2296,1
2297,1
2298,1
2299,1
2300,0
2301,1
2302,0
2303,1
2304,1
2305,0
2306,0
2307,1
2308,1
2309,1
2310,1
2311,0
2312,0
2313,1
2314,1
2315,1
2316,0
2317,1
2318,1
2319,0
2320,1
2321,0
2322,1
2323,1
2324,0
2325,0
2326,1
2327,0
2328,1
2329,1
2330,1
2331,1
2332,1
2333,1
2334,0
2335,1
2336,1
2337,1
2338,1
2339,0
2340,1
2341,0
2342,1
2343,0
2344,1
2345,0
2346,0
2347,0
2348,1
2349,1
2350,1
2351,1
2352,1
2353,1
2354,1
2355,1
2356,1
2357,0
2358,0
2359,1
2360,0
2361,0
2362,1
2363,1
2364,1
2365,1
2366,0
2367,0
2368,1
2369,0
2370,0
2371,1
2372,0
2373,0
2374,1
2375,1
2376,1
2377,0
2378,1
2379,1
2380,0
2381,1
2382,1
2383,0
2384,1
2385,1
2386,1
2387,1
2388,1
2389,1
2390,1
2391,0
2392,1
2393,1
2394,1
2395,0
2396,0
2397,1
2398,1
2399,0
2400,0
2401,1
2402,1
2403,1
2404,1
2405,0
2406,1
2407,1
2408,1
2409,1
2410,1
2411,0
2412,0
2413,0
2414,0
2415,1
2416,0
2417,1
2418,0
2419,0
2420,1
2421,0
2422,1
2423,1
2424,0
2425,1
2426,1
2427,1
2428,1
2429,0
2430,1
2431,1
2432,1
2433,0
2434,0
2435,0
2436,0
2437,1
2438,0
2439,1
2440,1
2441,1
2442,1
2443,1
2444,1
2445,1
2446,1
2447,1
2448,0
2449,1
2450,1
2451,0
2452,1
2453,0
2454,0
2455,1
2456,1
2457,1
2458,1
2459,1
2460,1
2461,1
2462,1
2463,1
2464,1
2465,1
2466,0
2467,1
2468,1
2469,1
2470,1
2471,0
2472,1
2473,0
2474,0
2475,1
2476,1
2477,1
2478,1
2479,1
2480,0
2481,1
2482,1
2483,0
2484,0
2485,0
2486,0
2487,0
2488,1
2489,1
2490,0
2491,1
2492,1
2493,1
2494,1
2495,1
2496,1
2497,0
2498,1
2499,0
2500,1
2501,0
2502,0
2503,0
2504,1
2505,1
2506,0
2507,1
2508,1
2509,1
2510,1
2511,1
2512,0
2513,0
2514,1
2515,1
2516,1
2517,0
2518,1
2519,0
2520,1
2521,1
2522,1
2523,1
2524,1
2525,1
2526,1
2527,1
2528,1
2529,1
2530,1
2531,0
2532,1
2533,0
2534,1
2535,0
2536,0
2537,0
2538,1
2539,0
2540,1
2541,0
2542,1
2543,1
2544,1
2545,1
2546,1
2547,1
2548,1
2549,0
2550,1
2551,0
2552,1
2553,0
2554,1
2555,1
2556,0
2557,1
2558,1
2559,0
2560,1
2561,1
2562,1
2563,1
2564,0
2565,1
2566,1
2567,1
2568,1
2569,0
2570,1
2571,1
2572,1
2573,1
2574,0
2575,0
2576,0
2577,1
2578,0
2579,0
2580,0
2581,0
2582,1
2583,1
2584,0
2585,1
2586,1
2587,1
2588,1
2589,1
2590,1
2591,0
2592,0
2593,1
2594,0
2595,1
2596,1
2597,1
2598,1
2599,0
2600,1
2601,1
2602,0
2603,1
2604,0
2605,0
2606,1
2607,1
2608,1
2609,1
2610,1
2611,1
2612,1
2613,0
2614,1
2615,0
2616,1
2617,1
2618,1
2619,1
2620,0
2621,1
2622,1
2623,1
2624,0
2625,1
2626,1
2627,1
2628,1
2629,1
2630,1
2631,0
2632,0
2633,1
2634,0
2635,1
2636,0
2637,0
2638,0
2639,0
2640,1
2641,1
2642,1
2643,0
2644,0
2645,0
2646,0
2647,0
2648,0
2649,0
2650,1
2651,1
2652,0
2653,0
2654,1
2655,0
2656,1
2657,1
2658,0
2659,0
2660,1
2661,0
2662,1
2663,1
2664,1
2665,1
2666,0
2667,1
2668,1
2669,0
2670,1
2671,0
2672,1
2673,0
2674,0
2675,0
2676,0
2677,1
2678,0
2679,0
2680,1
2681,1
2682,1
2683,1
2684,1
2685,0
2686,1
2687,1
2688,1
2689,0
2690,1
2691,0
2692,1
2693,0
2694,1
2695,1
2696,1
2697,1
2698,1
2699,0
2700,1
2701,1
2702,1
2703,1
2704,1
2705,0
2706,1
2707,1
2708,1
2709,1
2710,0
2711,0
2712,1
2713,1
2714,1
2715,1
2716,1
2717,1
2718,0
2719,1
2720,1
2721,1
2722,1
2723,1
2724,1
2725,0
2726,1
2727,1
2728,1
2729,1
2730,0
2731,1
2732,0
2733,0
2734,0
2735,1
2736,1
2737,1
2738,0
2739,1
2740,0
2741,1
2742,1
2743,1
2744,1
2745,0
2746,1
2747,0
2748,1
2749,1
2750,1
2751,1
2752,0
2753,1
2754,1
2755,1
2756,0
2757,1
2758,1
2759,1
2760,0
2761,1
2762,1
2763,1
2764,1
2765,1
2766,0
2767,1
2768,0
2769,1
2770,1
2771,0
2772,1
2773,1
2774,0
2775,0
2776,1
2777,1
2778,0
2779,1
2780,0
2781,1
2782,1
2783,1
2784,0
2785,1
2786,1
2787,0
2788,1
2789,1
2790,0
2791,1
2792,1
2793,1
2794,1
2795,1
2796,1
2797,0
2798,1
2799,1
2800,0
2801,1
2802,1
2803,1
2804,0
2805,1
2806,1
2807,1
2808,1
2809,1
2810,1
2811,1
2812,1
2813,0
2814,1
2815,1
2816,1
2817,0
2818,0
2819,1
2820,1
2821,1
2822,1
2823,0
2824,1
2825,0
2826,1
2827,1
2828,1
2829,1
2830,0
2831,1
2832,0
2833,1
2834,1
2835,1
2836,1
2837,1
2838,1
2839,0
2840,0
2841,1
2842,1
2843,0
2844,1
2845,1
2846,1
2847,0
2848,1
2849,1
2850,1
2851,1
2852,0
2853,0
2854,1
2855,1
2856,1
2857,1
2858,0
2859,1
2860,1
2861,1
2862,1
2863,0
2864,1
2865,1
2866,0
2867,1
2868,0
2869,1
2870,1
2871,0
2872,1
2873,0
2874,1
2875,1
2876,0
2877,1
2878,1
2879,1
2880,1
2881,0
2882,0
2883,0
2884,0
2885,1
2905,1
2906,0
2907,1
2908,1
2909,0
2910,1
2911,1
2912,0
2913,0
2914,0
2915,1
2916,1
2917,0
2918,1
2919,1
2920,1
2921,0
2922,1
2923,1
2924,0
2925,1
2926,1
2927,1
2928,0
2929,1
2930,1
2931,1
2932,0
2933,1
2934,1
2935,1
2936,0
2937,0
2938,1
2939,1
2940,1
2941,1
2942,0
2943,1
2944,0
2945,1
2946,1
2947,1
2948,0
2949,1
2950,0
2951,0
2952,0
2953,1
2954,1
2955,1
2956,1
2957,1
2958,1
2959,1
2960,0
2961,1
2962,1
2963,1
2964,1
2965,1
2966,1
2967,1
2968,0
2969,1
2970,1
2971,1
2972,1
2973,1
2974,0
2975,1
2976,0
2977,0
2978,0
2979,1
2980,1
2981,0
2982,1
2983,0
2984,0
2985,1
2986,1
2987,1
2988,1
2989,1
2990,0
2991,0
2992,0
2993,1
2994,1
2995,1
2996,0
2997,0
2998,0
2999,1
3000,1
3001,0
3002,0
3003,1
3004,1
3005,1
3006,1
3007,1
3008,0
3009,1
3010,0
3011,1
3012,0
3013,1
3014,1
3015,0
3016,1
